,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
164,寿司,三陸産いわし天ぷらにぎり,●,●,●,○,,,,,○,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
165,寿司,三陸産ほや軍艦,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
166,寿司,シーサラダ,●,●,●,●,●,,,,,,●,,,,,○,○,○,○,●,○,,○,,,,○,○
167,寿司,シーサラダ・コーン,●,●,●,●,●,,,,,,●,,,,,○,○,○,○,●,○,,○,,,,●,○
168,寿司,シーサラダ・ツナサラダ,●,●,●,●,●,,,,,,●,,,,,○,○,○,○,●,○,,○,,,,○,○
169,寿司,ししゃもこ軍艦(カラフトししゃも使用),,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
170,寿司,島原和牛にぎり,,,●,,,,,,,,,,○,,,●,,,,●,,,○,,,,●,
171,寿司,〆さばべったらのせ,,,●,,,,,,,,,,,,,○,○,,●,●,,,○,,,,○,
172,寿司,〆真さば(ごま白髪ネギ),,,●,,,,,,,,,,,,,○,●,,●,●,,,○,,,,○,
173,寿司,〆真さば(ミニしゃり),,,●,,,,,,,,,,,,,○,,,●,●,,,○,,,,○,
174,寿司,〆真さば,,,●,,,,,,,,,,,,,○,,,●,●,,,○,,,,○,
175,寿司,〆真さば(ごまネギ),,,●,,,,,,,,,,,,,○,●,,●,●,,,○,,,,○,
176,寿司,〆真さばごまネギ(ミニしゃり),,,●,,,,,,,,,,,,,○,●,,●,●,,,○,,,,○,
177,寿司,ジャンボとろサーモン,,,○,,,,,,,,,,,,,○,,●,,○,,,○,,,,○,
178,寿司,熟成アカバナとろかんぱち,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
179,寿司,上赤身,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
180,寿司,上赤身包み,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
181,寿司,上穴子の押し寿司1貫,○,○,●,○,○,,○,,,,,,○,,,○,○,,○,●,○,,○,,○,,○,○
182,寿司,上えび天にぎり,●,●,●,●,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
183,寿司,白ばい貝食べ比べ(生・炙り),,,●,○,,,,,,,,,,,,○,,○,○,●,,,○,,,,○,
184,寿司,新香巻,,,○,○,,,,,,,,,,,,○,○,,,●,,,○,,○,,○,
185,寿司,筋子いくら食べ比べ,○,○,●,○,○,,,,,,,●,,,,○,,,●,●,,,○,,,,○,
186,寿司,筋子包み,○,○,○,○,○,,,,,,,●,,,,○,,,,○,,,○,,,,○,
187,寿司,筋子納豆軍艦,○,○,○,○,○,,,,,,,●,,,,○,,,,●,,,○,,,,○,
188,寿司,スタミナチャンジャ巻,,●,●,○,,,,,,,,,,,,○,○,,○,●,○,,○,,,,○,
